iter	Passed	Remaining
1181	65468	34229
1182	65512	34168
1183	65570	34114
1184	65630	34061
1185	65686	34006
1186	65747	33954
1187	65805	33899
1188	65858	33843
1189	65914	33788
1190	65971	33733
1191	66028	33678
1192	66088	33626
1193	66148	33572
1194	66199	33515
1195	66255	33460
1196	66313	33406
1197	66373	33353
1198	66427	33296
1199	66484	33242
1200	66543	33188
1201	66601	33134
1202	66656	33079
1203	66714	33024
1204	66773	32970
1205	66825	32914
1206	66884	32860
1207	66936	32803
1208	66992	32748
1209	67051	32694
1210	67106	32638
1211	67160	32582
1212	67208	32523
1213	67263	32468
1214	67320	32413
1215	67379	32360
1216	67435	32304
1217	67492	32250
1218	67547	32194
1219	67606	32140
1220	67663	32086
1221	67726	32034
1222	67780	31978
1223	67839	31924
1224	67895	31869
1225	67952	31814
1226	68008	31759
1227	68067	31705
1228	68123	31650
1229	68181	31596
1230	68235	31539
1231	68293	31485
1232	68347	31429
1233	68400	31373
1234	68449	31314
1235	68507	31260
1236	68561	31204
1237	68609	31145
1238	68668	31091
1239	68720	31035
1240	68776	30979
1241	68826	30921
1242	68850	30852
1243	68907	30797
1244	68960	30741
1245	69016	30686
1246	69073	30631
1247	69127	30575
1248	69179	30518
1249	69234	30463
1250	69291	30408
1251	69350	30354
1252	69408	30300
1253	69462	30244
1254	69519	30189
1255	69580	30136
1256	69636	30081
1257	69693	30027
1258	69741	29968
1259	69795	29912
1260	69846	29855
1261	69903	29800
1262	69959	29745
1263	70017	29691
1264	70074	29636
1265	70128	29580
1266	70182	29524
1267	70242	29471
1268	70267	29402
1269	70323	29347
1270	70382	29293
1271	70440	29239
1272	70495	29183
1273	70549	29128
1274	70601	29071
1275	70661	29017
1276	70721	28964
1277	70781	28910
1278	70835	28854
1279	70891	28799
1280	70947	28744
1281	71007	28691
1282	71068	28637
1283	71125	28583
1284	71185	28529
1285	71241	28474
1286	71301	28420
1287	71362	28367
1288	71417	28312
1289	71477	28258
1290	71535	28204
1291	71589	28148
1292	71648	28094
1293	71710	28041
1294	71763	27984
1295	71816	27928
1296	71867	27871
1297	71922	27815
1298	71976	27759
1299	72035	27706
1300	72090	27650
1301	72148	27595
1302	72207	27541
1303	72264	27487
1304	72325	27433
1305	72385	27380
1306	72410	27313
1307	72464	27257
1308	72519	27201
1309	72576	27146
1310	72637	27093
1311	72696	27039
1312	72755	26985
1313	72812	26930
1314	72867	26875
